language,date,xp,timestamp
German,01-01-2021,28,1609524599
German,01-02-2021,177,1609597717
German,01-03-2021,256,1609632256
German,01-04-2021,143,1609764938
German,01-05-2021,391,1609848897
German,01-06-2021,151,1609939047
German,01-07-2021,213,1610022610
German,01-08-2021,364,1610109223
German,01-09-2021,140,1610196419
German,01-10-2021,93,1610282558
German,01-11-2021,171,1610368029
German,01-12-2021,156,1610454963
German,01-13-2021,171,1610541088
German,01-14-2021,232,1610626784
German,01-15-2021,183,1610711048
German,01-16-2021,169,1610800128
German,01-17-2021,198,1610886784
German,01-18-2021,112,1610972258
German,01-19-2021,131,1611058963
German,01-20-2021,91,1611145324
German,01-21-2021,262,1611231973
German,01-22-2021,115,1611317939
German,01-23-2021,145,1611407194
German,01-24-2021,162,1611492083
German,01-25-2021,122,1611577304
German,01-26-2021,162,1611663827
German,01-27-2021,161,1611750517
German,01-28-2021,54,1611854988
German,01-29-2021,67,1611975320
German,01-30-2021,39,1612010388
German,01-31-2021,13,1612147602
German,02-01-2021,26,1612234850
German,02-02-2021,15,1612321955
German,02-03-2021,165,1612371858
German,02-04-2021,27,1612490762
German,02-05-2021,147,1612533614
German,02-06-2021,177,1612651686
German,02-07-2021,54,1612741974
German,02-08-2021,54,1612837881
German,02-09-2021,66,1612923705
German,02-10-2021,62,1612973376
German,02-11-2021,14,1613089065
German,02-12-2021,134,1613180585
German,02-13-2021,157,1613255556
German,02-14-2021,65,1613344639
German,02-15-2021,110,1613391815
German,02-16-2021,13,1613506063
German,02-17-2021,58,1613564764
German,02-18-2021,10,1613700109
German,02-19-2021,30,1613775926
German,02-20-2021,39,1613873901
German,02-21-2021,81,1613915353
German,02-22-2021,168,1613995185
German,02-23-2021,10,1614083484
German,02-24-2021,30,1614216452
German,02-25-2021,29,1614256802
German,02-26-2021,82,1614343902
German,02-27-2021,30,1614463025
German,02-28-2021,20,1614565176
German,03-01-2021,61,1614602048
German,03-02-2021,71,1614687183
German,03-03-2021,15,1614822009
German,03-04-2021,12,1614906499
